,price,origin_id,destination_id,outbound_date,inbound_date,currency,origin_city_name,origin_country_name,destination_city_name,destination_country_name,direct,carrier_name,carrier_id,skyscanner_code,date_collected
54,64.0,PMI,LON,2017-05-11T00:00:00,2017-05-11T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
55,21.0,PMI,LON,2017-05-11T00:00:00,2017-05-11T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
56,38.0,PMI,LON,2017-05-11T00:00:00,2017-05-11T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
57,36.0,PMI,LON,2017-05-11T00:00:00,2017-05-11T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
58,21.0,PMI,LON,2017-05-12T00:00:00,2017-05-12T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
59,95.0,PMI,LON,2017-05-12T00:00:00,2017-05-12T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
60,21.0,PMI,LON,2017-05-12T00:00:00,2017-05-12T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
61,87.0,PMI,LON,2017-05-12T00:00:00,2017-05-12T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
62,18.0,PMI,LON,2017-05-13T00:00:00,2017-05-13T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
63,223.0,PMI,LON,2017-05-13T00:00:00,2017-05-13T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
64,18.0,PMI,LON,2017-05-13T00:00:00,2017-05-13T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
65,24.0,PMI,LON,2017-05-13T00:00:00,2017-05-13T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
66,42.0,PMI,LON,2017-05-13T00:00:00,2017-05-13T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
67,81.0,PMI,LON,2017-05-14T00:00:00,2017-05-14T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
68,50.0,PMI,LON,2017-05-14T00:00:00,2017-05-14T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
